DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,3755.70,3745.10,3757.00,3660.00,3699.00,3676.70,3690.81,200781,17172,124079,61.80
03-Aug-2016,3676.70,3671.00,3699.90,3650.40,3665.00,3667.70,3674.65,140575,16687,87774,62.44
04-Aug-2016,3667.70,3677.10,3699.95,3636.75,3671.00,3656.55,3668.09,114138,15488,62549,54.80
05-Aug-2016,3656.55,3674.40,3843.00,3670.00,3800.00,3806.90,3783.31,283529,28720,122667,43.26
08-Aug-2016,3806.90,3833.70,3833.70,3750.00,3770.00,3780.25,3783.00,168830,18093,107933,63.93
09-Aug-2016,3780.25,3782.00,3838.00,3757.65,3807.55,3801.95,3795.73,175336,17387,97038,55.34
10-Aug-2016,3801.95,3808.00,3810.00,3712.60,3727.35,3728.95,3761.10,208390,15079,138947,66.68
11-Aug-2016,3728.95,3728.70,3783.50,3658.20,3708.00,3706.65,3724.26,211962,30065,102377,48.30
12-Aug-2016,3706.65,3738.40,3765.50,3661.30,3715.80,3722.10,3723.22,197760,23019,83426,42.19
16-Aug-2016,3722.10,3723.50,3762.65,3708.55,3728.15,3739.45,3732.22,264593,29881,176865,66.84
17-Aug-2016,3739.45,3720.00,3738.00,3672.00,3699.05,3699.30,3695.65,130552,19455,72003,55.15
18-Aug-2016,3699.30,3717.60,3888.00,3717.60,3878.90,3874.35,3833.02,414419,40361,228838,55.22
19-Aug-2016,3874.35,3890.00,3954.95,3881.15,3915.25,3926.80,3921.70,270567,24957,126593,46.79
22-Aug-2016,3926.80,3921.00,3926.95,3847.30,3854.10,3865.40,3874.67,193180,23673,128660,66.60
23-Aug-2016,3865.40,3889.00,3889.00,3770.65,3829.80,3826.30,3826.50,279931,28981,147777,52.79
24-Aug-2016,3826.30,3831.00,3850.00,3794.00,3804.00,3812.30,3814.23,259712,11992,171063,65.87
25-Aug-2016,3812.30,3810.10,3844.70,3756.00,3820.00,3789.50,3789.36,491891,29264,341873,69.50
26-Aug-2016,3789.50,3820.00,3850.00,3767.45,3800.30,3803.45,3801.92,151854,13569,79352,52.26
29-Aug-2016,3803.45,3800.00,3802.95,3758.05,3801.00,3782.50,3781.87,60496,8398,23819,39.37
