DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,125.00,125.30,127.45,124.00,125.60,125.50,125.82,4540522,19448,539099,11.87
03-Aug-2016,125.50,125.30,130.10,124.40,128.20,127.45,127.75,8410047,30044,2613318,31.07
04-Aug-2016,127.45,129.15,133.00,127.50,132.75,132.40,130.85,8504613,36288,1990589,23.41
05-Aug-2016,132.40,134.05,137.75,133.50,137.00,137.10,135.75,7317459,37912,1859368,25.41
08-Aug-2016,137.10,133.10,134.00,127.10,128.00,128.35,129.43,12610030,61053,2779526,22.04
09-Aug-2016,128.35,127.15,131.50,127.15,129.55,129.45,129.81,6422209,35273,1093052,17.02
10-Aug-2016,129.45,129.65,129.90,124.90,125.45,126.10,127.04,5196006,23681,1168682,22.49
11-Aug-2016,126.10,126.35,126.55,122.40,123.65,123.80,124.42,4436207,20095,848735,19.13
12-Aug-2016,123.80,124.00,131.25,122.55,129.00,129.35,127.77,8465800,38158,1472196,17.39
16-Aug-2016,129.35,130.00,130.55,127.50,129.80,129.95,129.27,3874784,17934,475909,12.28
17-Aug-2016,129.95,130.40,133.65,129.60,131.85,132.10,132.09,5289644,28486,1027503,19.42
18-Aug-2016,132.10,133.20,134.75,132.10,133.50,133.45,133.62,3786212,15259,655168,17.30
19-Aug-2016,133.45,134.80,136.35,133.20,135.70,135.85,134.94,4929282,19824,1042408,21.15
22-Aug-2016,135.85,135.75,136.65,132.50,133.60,133.60,134.16,3453206,16782,580180,16.80
23-Aug-2016,133.60,133.70,135.85,132.05,135.60,135.50,134.18,4188128,18132,557210,13.30
24-Aug-2016,135.50,135.60,136.80,134.15,136.10,136.20,135.80,3550061,17323,916272,25.81
25-Aug-2016,136.20,136.95,137.35,133.65,134.20,134.10,135.53,2777826,13300,664076,23.91
26-Aug-2016,134.10,134.35,135.15,132.20,134.15,134.00,133.53,3586164,17851,1195372,33.33
29-Aug-2016,134.00,133.90,134.90,132.30,134.65,134.35,133.44,2689494,14942,342766,12.74
30-Aug-2016,134.35,135.10,142.95,134.70,141.20,141.45,138.61,6299917,25998,1968435,31.25
31-Aug-2016,141.45,142.00,144.50,140.50,141.75,141.70,142.45,6284081,30413,1705752,27.14
01-Sep-2016,141.70,140.95,142.40,135.60,138.00,137.50,140.00,3435993,17134,591190,17.21
02-Sep-2016,137.50,136.80,140.50,136.75,140.05,140.00,138.77,3234020,14466,438328,13.55
