DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,187.05,187.15,188.00,184.60,185.50,185.80,186.83,402499,2457,256875,63.82
03-Aug-2016,185.80,185.40,187.70,184.40,185.95,185.55,185.86,395651,2332,226207,57.17
04-Aug-2016,185.55,185.55,188.00,182.10,184.50,184.50,185.68,662190,4940,408970,61.76
05-Aug-2016,184.50,183.50,185.75,182.65,184.15,185.15,184.89,500178,1687,371498,74.27
08-Aug-2016,185.15,185.40,186.15,183.10,185.05,185.50,185.32,869485,3320,579902,66.69
09-Aug-2016,185.50,185.95,187.50,183.25,186.00,185.65,186.32,582098,5201,284129,48.81
10-Aug-2016,185.65,185.60,186.70,184.80,185.05,185.40,185.56,874415,3048,715987,81.88
11-Aug-2016,185.40,185.40,185.90,183.50,184.35,184.55,185.11,1081044,1815,927093,85.76
12-Aug-2016,184.55,184.10,185.55,181.40,182.70,182.95,183.61,473795,3024,372949,78.72
16-Aug-2016,182.95,181.00,181.60,162.80,175.25,177.05,173.92,6928563,17051,4746286,68.50
17-Aug-2016,177.05,179.90,181.95,174.15,178.00,177.85,178.92,868838,7426,382665,44.04
18-Aug-2016,177.85,178.70,189.00,175.25,187.10,187.15,184.28,1243342,13344,381352,30.67
19-Aug-2016,187.15,187.00,191.90,186.25,190.00,189.90,190.36,546738,4252,188740,34.52
22-Aug-2016,189.90,189.10,194.95,189.10,194.00,194.25,193.13,590686,6193,269528,45.63
23-Aug-2016,194.25,195.00,197.00,194.00,194.65,195.25,195.80,792977,4708,527510,66.52
24-Aug-2016,195.25,195.00,196.95,193.95,195.30,195.35,195.29,480913,2228,297344,61.83
25-Aug-2016,195.35,196.00,198.00,194.00,197.40,197.20,196.80,539328,5090,331914,61.54
