DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,165.95,165.30,166.25,153.70,157.00,156.25,160.03,20703799,111200,8026083,38.77
03-Aug-2016,156.25,158.00,159.70,155.30,158.00,157.20,157.43,13402085,73829,3793022,28.30
04-Aug-2016,157.20,160.00,162.90,157.75,162.70,161.65,159.93,11027801,54603,2918991,26.47
05-Aug-2016,161.65,163.70,170.75,163.35,168.80,169.10,167.83,15902590,87878,3540679,22.26
08-Aug-2016,169.10,170.20,173.35,168.95,169.30,169.55,170.81,11899175,59016,4344335,36.51
09-Aug-2016,169.55,170.00,170.40,163.60,164.75,165.05,165.68,10560994,47506,3419536,32.38
10-Aug-2016,165.05,164.95,167.40,161.80,164.10,164.45,164.56,8756250,46409,1865138,21.30
11-Aug-2016,164.45,164.05,164.30,158.40,162.05,161.40,161.22,9943268,43661,3121485,31.39
12-Aug-2016,161.40,162.40,167.50,162.40,166.40,166.20,165.96,9611620,45507,1807462,18.80
16-Aug-2016,166.20,166.50,170.65,164.40,169.50,169.45,167.20,10439062,57461,2384384,22.84
17-Aug-2016,169.45,169.15,172.70,168.40,170.90,171.10,171.03,10205216,51473,2155289,21.12
18-Aug-2016,171.10,171.65,173.70,171.10,172.85,172.90,172.48,8317460,44394,1263283,15.19
19-Aug-2016,172.90,174.55,180.65,173.30,178.95,179.30,177.87,16779261,88519,2276951,13.57
22-Aug-2016,179.30,178.80,179.10,175.15,175.90,176.60,176.90,8706650,47478,1505510,17.29
23-Aug-2016,176.60,176.05,177.45,171.40,173.95,174.05,174.84,7534355,38194,1059082,14.06
24-Aug-2016,174.05,175.00,177.60,174.70,175.75,176.00,176.21,6394420,29815,1045461,16.35
25-Aug-2016,176.00,175.95,176.50,169.20,170.25,169.90,172.19,9613554,48732,3353677,34.88
26-Aug-2016,169.90,170.75,171.85,167.30,169.00,169.25,169.51,5697444,40789,776810,13.63
29-Aug-2016,169.25,169.00,174.00,167.55,173.45,173.35,171.91,6398292,34785,1043471,16.31
30-Aug-2016,173.35,174.50,176.30,173.10,175.20,175.20,175.11,6658517,39116,1179185,17.71
31-Aug-2016,175.20,174.50,176.50,169.30,170.20,170.00,172.30,10220931,63744,3577016,35.00
01-Sep-2016,170.00,169.35,172.00,168.55,170.65,170.20,170.38,6972842,31155,863720,12.39
02-Sep-2016,170.20,170.65,173.10,167.20,172.35,172.25,169.71,7542604,39631,1111191,14.73
06-Sep-2016,172.25,173.70,175.80,172.85,174.50,174.60,174.35,5841845,38091,1403928,24.03
07-Sep-2016,174.60,178.20,180.80,172.65,173.95,173.60,176.95,15020011,91649,3194611,21.27
08-Sep-2016,173.60,174.80,177.85,173.70,175.10,175.30,175.90,8909535,50279,3008426,33.77
