DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,40.70,41.00,41.35,39.50,40.05,39.85,40.32,717396,4032,390338,54.41
03-Aug-2016,39.85,39.70,40.00,38.90,38.95,39.05,39.38,683597,3543,347430,50.82
04-Aug-2016,39.05,39.35,39.65,38.35,39.00,38.85,38.98,527578,2300,198059,37.54
05-Aug-2016,38.85,39.30,39.65,39.15,39.25,39.25,39.37,314596,1750,154242,49.03
08-Aug-2016,39.25,39.40,39.60,38.50,38.75,38.60,38.90,315423,1636,163293,51.77
09-Aug-2016,38.60,38.80,38.90,38.30,38.60,38.45,38.62,336974,1714,137377,40.77
10-Aug-2016,38.45,38.80,38.80,36.50,37.00,36.90,37.21,533586,3432,281113,52.68
11-Aug-2016,36.90,37.20,37.20,36.55,37.00,36.90,36.87,407073,1811,221763,54.48
12-Aug-2016,36.90,37.40,38.35,37.25,37.60,37.75,37.89,676234,3313,283744,41.96
16-Aug-2016,37.75,37.90,38.25,37.70,37.70,37.85,37.96,282684,1779,158875,56.20
17-Aug-2016,37.85,37.95,38.60,37.65,38.50,38.40,38.27,540793,2081,304000,56.21
18-Aug-2016,38.40,38.40,38.95,38.25,38.70,38.70,38.68,335757,1640,211651,63.04
19-Aug-2016,38.70,38.50,40.50,38.50,40.50,39.95,39.53,635985,3380,374980,58.96
22-Aug-2016,39.95,40.10,40.45,39.60,39.60,39.75,39.98,430324,2254,216665,50.35
23-Aug-2016,39.75,39.85,40.10,38.65,38.90,38.85,39.44,490577,2186,288607,58.83
24-Aug-2016,38.85,38.85,39.45,38.80,39.10,39.00,39.06,208059,1411,103412,49.70
25-Aug-2016,39.00,39.50,39.50,38.55,38.75,38.65,38.98,207249,1409,102503,49.46
26-Aug-2016,38.65,38.80,39.00,38.30,38.35,38.50,38.64,206571,1144,114422,55.39
29-Aug-2016,38.50,38.50,38.75,38.15,38.60,38.50,38.49,405101,2204,253772,62.64
30-Aug-2016,38.50,38.60,39.30,38.50,38.90,39.05,38.92,490670,2534,264336,53.87
