DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,553.55,551.85,555.00,530.50,542.00,537.35,545.48,21994,1158,15565,70.77
03-Aug-2016,537.35,542.00,542.00,522.50,523.00,528.25,531.97,13535,617,9280,68.56
04-Aug-2016,528.25,530.00,538.00,522.50,536.50,535.40,534.16,21049,811,16314,77.50
05-Aug-2016,535.40,532.00,549.00,531.05,548.40,546.35,544.56,140938,789,134947,95.75
08-Aug-2016,546.35,551.60,551.60,525.65,529.85,534.70,542.86,230960,1579,208379,90.22
09-Aug-2016,534.70,530.20,539.80,523.00,523.40,526.10,525.31,240033,1285,224142,93.38
10-Aug-2016,526.10,525.00,534.00,518.80,527.10,523.40,523.14,80183,1368,68478,85.40
11-Aug-2016,523.40,531.00,550.00,520.60,548.00,541.70,535.24,75280,942,66733,88.65
12-Aug-2016,541.70,541.70,549.00,535.00,537.00,536.40,542.74,84284,925,73687,87.43
16-Aug-2016,536.40,539.95,553.00,537.00,549.45,547.90,548.52,61577,2442,34240,55.61
17-Aug-2016,547.90,550.00,571.00,546.10,564.30,566.40,558.93,82076,2667,40133,48.90
18-Aug-2016,566.40,572.70,577.90,566.20,572.00,570.55,570.84,46330,2176,27160,58.62
19-Aug-2016,570.55,570.00,576.40,560.00,560.00,561.40,570.16,39351,1244,29614,75.26
22-Aug-2016,561.40,558.00,575.00,551.55,570.10,570.10,562.41,76704,2364,58274,75.97
23-Aug-2016,570.10,565.05,625.00,565.00,604.00,603.35,602.41,200416,8280,94012,46.91
24-Aug-2016,603.35,607.00,631.00,606.90,626.00,624.85,622.56,130093,5169,49546,38.09
25-Aug-2016,624.85,628.00,633.00,612.00,616.00,613.95,623.23,36580,1667,19171,52.41
26-Aug-2016,613.95,614.00,618.05,597.10,606.80,607.80,608.95,20695,1091,14144,68.35
29-Aug-2016,607.80,595.60,612.05,592.60,593.50,596.00,600.28,16058,971,10447,65.06
30-Aug-2016,596.00,595.05,616.00,595.05,615.45,607.95,611.51,62362,2262,37971,60.89
31-Aug-2016,607.95,615.95,620.00,592.50,594.00,595.30,608.34,37645,1362,27402,72.79
01-Sep-2016,595.30,595.30,606.50,593.30,602.00,601.90,599.31,17227,553,13831,80.29
02-Sep-2016,601.90,604.40,604.40,593.00,596.00,598.25,597.98,9779,649,6456,66.02
06-Sep-2016,598.25,596.00,605.00,589.10,590.05,592.05,596.61,10996,602,7848,71.37
07-Sep-2016,592.05,590.05,599.00,580.55,581.70,583.45,586.93,18443,980,10846,58.81
08-Sep-2016,583.45,595.00,602.95,576.40,600.00,599.60,590.39,39108,2059,21282,54.42
