DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,131.95,132.00,133.30,126.90,127.40,127.80,130.28,518338,5359,186814,36.04
03-Aug-2016,127.80,128.45,130.70,126.00,127.70,126.95,128.17,425994,4905,129996,30.52
04-Aug-2016,126.95,128.25,129.25,126.05,128.00,127.00,127.28,203513,2101,70741,34.76
05-Aug-2016,127.00,128.90,132.00,126.40,130.00,130.75,129.24,295697,2874,119404,40.38
08-Aug-2016,130.75,132.35,132.45,128.30,128.75,128.95,130.26,316056,2614,189971,60.11
09-Aug-2016,128.95,128.00,130.90,126.50,127.30,127.45,128.94,234166,2534,62329,26.62
10-Aug-2016,127.45,127.05,128.45,125.00,126.00,126.40,126.34,195592,1814,92450,47.27
11-Aug-2016,126.40,121.50,131.80,121.50,127.55,127.80,127.67,1440495,13296,121186,8.41
12-Aug-2016,127.80,128.30,130.40,126.00,127.20,127.00,127.98,331184,2995,127404,38.47
16-Aug-2016,127.00,127.50,128.35,124.80,126.50,125.85,125.87,184055,1815,88838,48.27
17-Aug-2016,125.85,126.45,129.80,125.50,127.50,127.60,127.75,288175,2569,83518,28.98
18-Aug-2016,127.60,128.90,133.55,128.35,131.00,130.80,130.84,981107,12934,318014,32.41
19-Aug-2016,130.80,130.00,133.00,130.00,130.70,131.30,131.50,530356,11774,236635,44.62
22-Aug-2016,131.30,133.40,134.30,129.25,129.75,130.70,132.32,700674,12942,329683,47.05
23-Aug-2016,130.70,130.00,132.60,128.35,131.55,131.35,130.84,484578,5769,221563,45.72
24-Aug-2016,131.35,131.95,132.90,129.30,129.50,129.65,131.10,271149,4905,136187,50.23
25-Aug-2016,129.65,130.00,131.75,127.00,130.70,130.90,130.30,397229,3455,179996,45.31
26-Aug-2016,130.90,133.10,133.90,128.20,128.80,129.40,130.79,690077,7689,245605,35.59
29-Aug-2016,129.40,129.50,130.95,127.65,129.30,129.55,129.59,242724,3396,60554,24.95
30-Aug-2016,129.55,130.60,131.65,128.00,128.55,129.30,129.81,431345,3886,148714,34.48
31-Aug-2016,129.30,130.30,130.60,127.00,127.10,127.25,128.45,272614,2228,148751,54.56
01-Sep-2016,127.25,127.95,128.70,125.80,126.70,126.85,127.02,303342,2292,118512,39.07
02-Sep-2016,126.85,127.00,127.25,125.15,125.60,125.50,126.02,185167,1283,125032,67.52
06-Sep-2016,125.50,126.00,129.70,125.95,127.20,127.40,127.70,300710,3960,149442,49.70
07-Sep-2016,127.40,128.10,128.95,126.55,127.00,127.30,127.53,293588,3796,138297,47.11
08-Sep-2016,127.30,127.55,140.45,126.80,135.30,134.90,136.33,2625495,26964,875067,33.33
09-Sep-2016,134.90,135.65,137.60,132.55,134.60,134.15,134.96,973309,9332,279099,28.68
12-Sep-2016,134.15,130.00,132.00,127.35,127.45,128.00,129.78,638336,5892,151397,23.72
14-Sep-2016,128.00,127.70,130.70,127.35,128.00,127.90,129.11,396665,3689,142862,36.02
15-Sep-2016,127.90,128.10,129.05,126.90,127.05,127.15,127.55,165952,1484,89575,53.98
16-Sep-2016,127.15,128.30,131.45,127.00,127.00,127.25,129.40,761982,9170,267374,35.09
19-Sep-2016,127.25,127.55,129.45,126.80,127.65,127.25,127.96,266076,2534,114478,43.02
20-Sep-2016,127.25,127.80,128.75,127.00,127.85,127.65,127.61,147142,1756,76481,51.98
21-Sep-2016,127.65,128.50,130.75,127.50,128.00,128.10,128.93,220187,2566,91778,41.68
22-Sep-2016,128.10,129.65,130.05,127.20,127.35,127.85,128.48,150999,1811,74833,49.56
23-Sep-2016,127.85,129.40,131.80,127.65,127.80,128.00,129.64,561962,7437,188142,33.48
26-Sep-2016,128.00,128.00,128.90,127.00,127.50,127.45,127.58,192732,2078,110807,57.49
27-Sep-2016,127.45,127.95,132.20,127.25,131.15,130.85,129.35,617823,5027,273442,44.26
28-Sep-2016,130.85,132.00,136.95,130.75,133.80,133.95,134.54,1220065,20183,546663,44.81
29-Sep-2016,133.95,135.00,141.70,126.05,130.75,130.60,135.53,2104681,18976,669943,31.83
30-Sep-2016,130.60,130.00,135.55,128.90,135.00,134.25,133.06,452039,4438,134961,29.86
03-Oct-2016,134.25,135.55,137.50,133.20,136.50,136.30,135.61,544370,6605,197587,36.30
04-Oct-2016,136.30,137.00,145.00,137.00,141.70,141.20,142.13,1489276,18285,497350,33.40
05-Oct-2016,141.20,142.00,142.75,136.35,138.20,138.05,139.07,549978,4688,180123,32.75
06-Oct-2016,138.05,138.45,147.60,138.00,141.90,142.05,142.92,2058670,15633,541828,26.32
07-Oct-2016,142.05,142.00,147.90,140.10,145.95,146.20,144.56,1269105,9938,316204,24.92
10-Oct-2016,146.20,147.25,150.65,144.60,146.90,146.25,147.91,898814,7299,261689,29.11
13-Oct-2016,146.25,146.00,146.00,136.60,142.50,141.55,141.52,415044,4349,158873,38.28
14-Oct-2016,141.55,143.20,144.60,140.45,142.65,142.65,142.49,214937,2624,71708,33.36
17-Oct-2016,142.65,142.00,144.40,138.00,139.00,138.60,141.29,263834,2301,92731,35.15
18-Oct-2016,138.60,139.95,143.00,139.35,140.95,140.50,140.85,240982,2310,80188,33.28
19-Oct-2016,140.50,141.00,145.80,138.65,144.00,144.55,142.82,327180,3126,146053,44.64
20-Oct-2016,144.55,145.50,148.50,144.50,146.75,147.40,146.72,504711,4908,207436,41.10
21-Oct-2016,147.40,148.75,150.50,142.40,142.95,143.55,146.50,509894,7086,228810,44.87
24-Oct-2016,143.55,144.75,145.50,142.10,143.50,143.55,143.73,284785,4187,115139,40.43
25-Oct-2016,143.55,144.00,148.40,143.50,145.60,145.10,145.66,442523,4323,141426,31.96
26-Oct-2016,145.10,144.25,157.00,143.00,151.30,151.15,152.79,1978438,21362,502514,25.40
27-Oct-2016,151.15,151.35,152.20,145.10,147.00,146.20,148.61,477489,9934,220276,46.13
