DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,371.15,375.00,375.75,358.85,364.85,366.05,366.93,6290334,71193,1007371,16.01
03-Aug-2016,366.05,358.80,360.70,341.80,344.25,345.20,352.94,2751998,38097,761723,27.68
04-Aug-2016,345.20,350.90,356.50,343.00,349.60,347.85,349.73,2223022,43154,445046,20.02
05-Aug-2016,347.85,348.90,351.95,345.60,348.85,348.85,349.13,1923274,32969,882887,45.91
08-Aug-2016,348.85,349.40,355.65,349.05,352.25,351.80,352.95,1354336,26424,606881,44.81
09-Aug-2016,351.80,351.80,353.25,345.15,348.25,347.65,348.91,932563,42488,298963,32.06
10-Aug-2016,347.65,348.50,352.60,343.70,348.65,348.05,347.44,1156783,20087,426543,36.87
11-Aug-2016,348.05,348.70,362.45,345.15,361.90,360.25,354.03,3161164,48838,1016128,32.14
12-Aug-2016,360.25,362.00,367.60,361.20,365.85,365.75,364.73,3330018,61594,1848399,55.51
16-Aug-2016,365.75,366.95,373.35,363.60,371.40,371.90,368.59,2049020,37937,982487,47.95
17-Aug-2016,371.90,369.25,374.25,363.55,366.20,366.35,369.20,1960202,32576,961413,49.05
18-Aug-2016,366.35,369.40,369.65,364.45,365.90,365.75,367.07,674230,12511,216595,32.12
19-Aug-2016,365.75,366.50,384.60,366.50,384.40,382.60,375.97,2529707,41925,774102,30.60
22-Aug-2016,382.60,382.95,382.95,371.40,372.40,372.15,374.31,1987988,28832,782317,39.35
23-Aug-2016,372.15,372.15,377.75,369.20,372.40,372.40,373.42,957444,12955,242397,25.32
24-Aug-2016,372.40,370.00,389.90,370.00,388.00,388.20,381.79,2252690,29909,812705,36.08
25-Aug-2016,388.20,389.90,390.10,378.00,379.90,379.30,383.29,2595970,38407,1124038,43.30
26-Aug-2016,379.30,381.80,393.50,380.20,392.00,391.75,387.93,2173621,32564,810758,37.30
29-Aug-2016,391.75,392.50,395.00,386.10,390.50,391.35,391.49,1466993,18051,510725,34.81
30-Aug-2016,391.35,394.00,396.50,391.10,394.90,394.75,394.12,1235418,19700,256417,20.76
31-Aug-2016,394.75,395.00,401.80,389.35,390.05,390.30,395.22,1532132,21161,479184,31.28
01-Sep-2016,390.30,392.80,393.80,385.05,388.50,387.40,389.45,1005027,15236,185228,18.43
02-Sep-2016,387.40,388.40,391.90,387.25,390.00,390.50,389.95,1013529,20506,313200,30.90
06-Sep-2016,390.50,394.00,394.95,389.20,391.85,391.90,391.99,1047007,33714,372076,35.54
07-Sep-2016,391.90,392.60,396.00,389.80,391.20,391.30,392.80,802751,15227,254807,31.74
08-Sep-2016,391.30,391.80,392.35,385.60,392.30,390.15,388.33,1303536,19447,638299,48.97
09-Sep-2016,390.15,389.25,393.75,386.40,387.50,389.20,389.88,803476,18569,237048,29.50
12-Sep-2016,389.20,381.80,389.00,372.60,375.80,374.50,375.65,737381,17583,187823,25.47
14-Sep-2016,374.50,374.95,378.20,367.90,376.50,376.10,374.21,1654036,25457,792219,47.90
15-Sep-2016,376.10,376.60,386.45,371.10,386.00,384.40,377.45,1055417,16765,364081,34.50
16-Sep-2016,384.40,387.00,388.20,374.00,378.10,378.70,382.63,1287624,29055,403743,31.36
19-Sep-2016,378.70,380.00,394.00,377.50,391.80,391.05,386.98,1304397,19113,357026,27.37
20-Sep-2016,391.05,392.95,392.95,381.15,381.15,382.80,385.34,1004593,18206,316902,31.55
21-Sep-2016,382.80,382.50,384.50,377.50,378.55,379.10,380.67,1363438,32249,576373,42.27
22-Sep-2016,379.10,382.70,385.45,376.20,378.00,379.50,380.36,1332890,20173,583083,43.75
23-Sep-2016,379.50,379.55,387.30,378.35,382.80,382.95,383.78,951856,17755,235518,24.74
26-Sep-2016,382.95,380.05,383.50,375.10,377.15,378.25,378.97,1124060,21121,248669,22.12
27-Sep-2016,378.25,379.00,384.95,378.85,381.30,381.45,382.02,808207,13437,158213,19.58
28-Sep-2016,381.45,380.05,384.00,378.05,381.55,380.90,380.80,1096317,22828,416623,38.00
29-Sep-2016,380.90,383.40,385.40,358.25,370.95,370.15,371.77,2285059,25683,1136239,49.72
30-Sep-2016,370.15,368.70,380.65,366.00,379.00,379.10,372.83,1423665,35206,700613,49.21
03-Oct-2016,379.10,382.20,391.35,380.40,387.40,388.75,387.62,991323,17255,353587,35.67
04-Oct-2016,388.75,389.90,399.95,386.40,398.55,397.15,392.67,922916,23658,252939,27.41
05-Oct-2016,397.15,401.30,404.40,393.65,394.95,396.15,399.93,1788508,21388,386287,21.60
06-Oct-2016,396.15,396.60,399.75,385.00,387.45,388.55,392.46,990117,13863,233485,23.58
07-Oct-2016,388.55,387.15,391.00,381.60,390.80,388.80,385.56,673824,9519,94977,14.10
10-Oct-2016,388.80,391.95,395.00,387.40,389.00,389.15,391.51,656590,12868,99129,15.10
13-Oct-2016,389.15,387.05,388.50,376.25,379.00,379.80,381.71,1009060,27680,216445,21.45
14-Oct-2016,379.80,379.10,400.80,378.25,398.80,397.60,390.95,1697163,23833,499267,29.42
17-Oct-2016,397.60,400.00,405.50,390.85,391.10,392.75,398.64,1698535,32474,269624,15.87
18-Oct-2016,392.75,392.35,402.00,392.35,399.00,399.50,399.09,1155659,19561,356641,30.86
19-Oct-2016,399.50,400.45,406.40,394.70,401.40,401.90,401.98,1363962,21159,279992,20.53
20-Oct-2016,401.90,403.00,406.00,395.10,396.65,396.35,399.96,1135724,18470,338829,29.83
21-Oct-2016,396.35,396.00,398.90,390.20,394.35,394.85,393.87,717664,10253,164265,22.89
24-Oct-2016,394.85,398.50,401.45,391.60,394.00,393.55,396.57,1138366,23321,171964,15.11
25-Oct-2016,393.55,389.90,401.40,383.30,396.90,397.55,396.28,1426081,18785,226833,15.91
26-Oct-2016,397.55,396.75,398.05,380.30,384.10,385.35,389.99,1122371,18563,215367,19.19
27-Oct-2016,385.35,383.95,387.80,378.05,382.80,381.15,382.81,1126937,25811,328588,29.16
28-Oct-2016,381.15,383.00,389.00,381.60,387.10,386.70,384.99,650491,15197,125576,19.30
30-Oct-2016,386.70,389.05,389.45,385.00,385.00,386.40,386.72,87090,2680,19774,22.71
01-Nov-2016,386.40,386.60,388.00,381.40,387.05,385.85,385.23,731739,16564,187191,25.58
02-Nov-2016,385.85,378.65,380.00,370.40,370.90,372.65,375.19,706340,11211,132004,18.69
03-Nov-2016,372.65,369.00,373.25,362.30,363.55,364.85,368.54,813490,11533,94213,11.58
04-Nov-2016,364.85,366.20,370.50,358.20,358.70,360.05,363.08,1100762,16902,337801,30.69
07-Nov-2016,360.05,362.15,366.30,356.70,357.65,359.35,362.60,1185370,20228,403627,34.05
08-Nov-2016,359.35,360.50,361.80,351.30,357.25,357.00,355.77,1125591,14972,359206,31.91
09-Nov-2016,357.00,339.50,343.00,321.30,339.35,338.40,337.64,2657301,50042,1379937,51.93
10-Nov-2016,338.40,348.00,357.45,344.00,351.00,349.65,351.41,1186190,13477,514354,43.36
11-Nov-2016,349.65,346.15,348.40,328.10,334.15,333.20,339.38,1700061,24778,479018,28.18
15-Nov-2016,333.20,333.00,334.95,311.05,320.00,322.35,323.77,1505551,35946,490659,32.59
16-Nov-2016,322.35,324.00,332.05,315.35,329.85,328.40,325.81,2298848,43794,1025304,44.60
17-Nov-2016,328.40,318.95,319.70,297.50,303.40,302.90,305.24,6767775,90375,2344230,34.64
18-Nov-2016,302.90,302.00,302.55,291.40,292.45,292.70,294.29,4264362,86170,2079621,48.77
21-Nov-2016,292.70,295.00,304.00,291.80,295.00,295.65,298.39,3918142,51613,1672292,42.68
22-Nov-2016,295.65,301.00,305.00,287.15,304.60,301.80,294.59,2767086,77539,985042,35.60
23-Nov-2016,301.80,304.50,306.45,295.20,299.90,300.45,298.84,2023122,66993,777003,38.41
24-Nov-2016,300.45,295.50,303.00,293.30,301.40,299.85,297.50,2248235,29047,963819,42.87
25-Nov-2016,299.85,302.00,302.65,296.20,301.50,300.95,300.47,811050,20735,251841,31.05
28-Nov-2016,300.95,300.00,305.75,296.65,300.05,300.95,302.84,1123572,20226,448678,39.93
29-Nov-2016,300.95,300.95,311.75,300.10,308.10,307.90,306.20,1846523,26519,695052,37.64
30-Nov-2016,307.90,312.00,317.00,309.05,315.45,315.85,313.37,1192481,19537,361590,30.32
