DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,1074.95,1062.05,1091.00,1056.55,1070.00,1068.55,1074.25,12408,1558,6493,52.33
03-Aug-2016,1068.55,1082.00,1082.00,1031.60,1043.00,1046.05,1051.78,10265,1268,5741,55.93
04-Aug-2016,1046.05,1075.00,1075.00,1036.10,1073.90,1054.75,1050.83,6419,766,4581,71.37
05-Aug-2016,1054.75,1073.90,1085.00,1053.00,1075.00,1068.95,1069.22,8096,929,6068,74.95
08-Aug-2016,1068.95,1074.95,1078.95,1056.50,1060.00,1069.05,1069.20,12833,2741,10144,79.05
09-Aug-2016,1069.05,1052.20,1070.45,1039.00,1039.00,1042.30,1051.81,7563,2305,5142,67.99
10-Aug-2016,1042.30,1040.00,1057.50,1006.00,1020.00,1013.30,1030.90,8989,1732,5309,59.06
11-Aug-2016,1013.30,1020.95,1024.35,995.00,1018.90,1018.15,1003.10,35998,1330,30520,84.78
12-Aug-2016,1018.15,1022.95,1041.10,1015.05,1040.00,1034.30,1029.50,4202,436,3069,73.04
16-Aug-2016,1034.30,1014.60,1047.95,1000.00,1010.20,1008.25,1010.48,7019,1030,4863,69.28
17-Aug-2016,1008.25,990.00,1022.40,988.15,1003.35,1006.85,1001.92,10590,1456,8105,76.53
18-Aug-2016,1006.85,996.25,1027.95,996.25,1005.00,1003.30,1004.68,11885,1735,6399,53.84
19-Aug-2016,1003.30,1003.30,1037.10,990.00,990.30,992.15,998.81,9492,683,6984,73.58
22-Aug-2016,992.15,982.00,1006.25,981.00,990.00,990.20,990.92,6437,743,4106,63.79
23-Aug-2016,990.20,998.00,998.00,973.00,987.00,979.85,984.18,7442,574,5639,75.77
24-Aug-2016,979.85,987.00,1035.15,983.45,1034.00,1017.95,1011.52,43434,2511,20389,46.94
25-Aug-2016,1017.95,1059.90,1059.90,981.00,996.00,995.10,1013.68,68899,4772,31658,45.95
26-Aug-2016,995.10,988.00,1005.00,988.00,1002.20,1001.15,1000.02,11519,1211,7777,67.51
29-Aug-2016,1001.15,990.00,1019.00,987.50,1000.55,1001.15,1002.10,23163,1704,18803,81.18
30-Aug-2016,1001.15,987.00,1008.95,987.00,1004.95,1000.30,1000.47,13572,987,11430,84.22
31-Aug-2016,1000.30,990.00,1019.00,990.00,1005.00,1001.85,1003.57,16736,1237,13755,82.19
01-Sep-2016,1001.85,992.00,1031.00,991.00,1000.00,1000.75,1009.46,12945,955,7359,56.85
02-Sep-2016,1000.75,1005.75,1024.75,1005.10,1011.70,1011.10,1013.15,11391,811,4806,42.19
06-Sep-2016,1011.10,991.00,1024.80,990.05,1010.00,1010.50,1009.71,218554,2048,211678,96.85
07-Sep-2016,1010.50,995.00,1023.80,995.00,1005.05,1009.80,1010.51,14642,2189,10236,69.91
08-Sep-2016,1009.80,997.25,1019.65,997.25,1010.00,1015.50,1010.06,20354,2720,14074,69.15
09-Sep-2016,1015.50,1003.00,1013.75,993.85,1000.00,999.75,1000.54,11347,1312,8933,78.73
12-Sep-2016,999.75,1005.00,1005.00,970.00,977.90,975.60,976.84,16149,3320,11443,70.86
14-Sep-2016,975.60,973.00,999.00,970.10,976.00,975.75,985.47,8035,798,6501,80.91
15-Sep-2016,975.75,971.00,992.00,971.00,980.55,986.20,986.77,10704,939,6006,56.11
16-Sep-2016,986.20,975.00,1009.90,962.10,966.00,971.30,986.61,25630,2124,15032,58.65
19-Sep-2016,971.30,971.15,990.30,959.00,960.00,964.60,974.02,13816,1353,8269,59.85
20-Sep-2016,964.60,964.90,975.00,954.00,960.80,960.85,964.73,12942,971,9405,72.67
21-Sep-2016,960.85,1037.00,1116.00,1003.15,1015.00,1016.55,1043.64,671101,31623,125719,18.73
22-Sep-2016,1016.55,1029.70,1034.00,1006.30,1012.50,1012.70,1014.75,84920,2556,49607,58.42
23-Sep-2016,1012.70,1012.00,1049.00,1012.00,1037.00,1039.15,1034.01,71755,4916,32825,45.75
26-Sep-2016,1039.15,1091.15,1108.80,1061.55,1071.10,1072.50,1085.00,387149,18834,111037,28.68
