DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,574.00,577.95,590.00,575.55,582.00,580.60,584.01,98281,3720,69970,71.19
03-Aug-2016,580.60,586.80,587.00,573.40,579.00,576.15,579.52,46242,2714,29238,63.23
04-Aug-2016,576.15,581.00,589.70,571.00,582.00,582.20,580.19,52486,3630,28702,54.69
05-Aug-2016,582.20,584.00,589.95,579.00,583.00,583.25,585.12,39012,3419,26247,67.28
08-Aug-2016,583.25,585.90,592.00,581.00,585.65,586.30,588.37,98839,3191,52033,52.64
09-Aug-2016,586.30,588.00,588.00,580.25,586.50,586.45,584.74,20275,1041,11838,58.39
10-Aug-2016,586.45,585.00,588.90,572.00,577.00,575.85,577.02,26235,1552,14646,55.83
11-Aug-2016,575.85,572.30,589.00,572.30,585.00,584.20,582.87,54815,2984,27361,49.92
12-Aug-2016,584.20,575.00,595.00,575.00,583.65,584.10,586.74,105422,10145,70020,66.42
16-Aug-2016,584.10,577.30,587.95,571.00,574.00,573.45,575.62,42348,3403,26396,62.33
17-Aug-2016,573.45,575.95,590.40,567.50,582.45,584.50,577.38,66846,3693,50698,75.84
18-Aug-2016,584.50,584.35,584.35,576.65,579.35,578.65,579.99,18585,2022,10628,57.19
19-Aug-2016,578.65,580.00,582.90,576.00,580.00,579.70,579.50,38995,1347,26861,68.88
22-Aug-2016,579.70,580.00,581.50,569.25,571.00,571.10,575.47,36603,1961,26529,72.48
23-Aug-2016,571.10,569.15,576.20,567.00,575.00,573.70,573.71,128917,3941,109865,85.22
24-Aug-2016,573.70,578.90,578.90,570.10,572.00,571.70,572.04,15650,847,10107,64.58
25-Aug-2016,571.70,575.75,575.75,567.10,572.50,573.05,571.41,25448,1434,15095,59.32
26-Aug-2016,573.05,570.00,575.00,563.15,564.95,564.45,567.45,23959,1413,15694,65.50
29-Aug-2016,564.45,569.00,569.00,552.95,555.00,555.35,557.49,27426,2016,18741,68.33
30-Aug-2016,555.35,555.80,565.00,550.30,556.00,554.75,553.43,43759,3223,29907,68.34
31-Aug-2016,554.75,558.00,570.85,555.90,570.70,569.00,565.22,47826,2312,32847,68.68
01-Sep-2016,569.00,571.00,574.90,561.10,565.00,564.80,565.34,30479,1924,20506,67.28
02-Sep-2016,564.80,568.75,569.90,558.00,564.00,564.95,565.40,17040,1288,11342,66.56
