DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,87.35,88.75,88.95,84.65,85.00,85.25,86.82,635375,4662,254496,40.05
03-Aug-2016,85.25,85.65,85.65,82.60,83.00,82.95,83.67,251527,1749,151949,60.41
04-Aug-2016,82.95,84.80,84.80,81.40,81.55,81.60,82.07,308935,2186,128729,41.67
05-Aug-2016,81.60,82.05,84.35,82.05,83.25,83.10,83.26,244806,1783,128885,52.65
08-Aug-2016,83.10,83.85,85.65,83.10,83.10,83.50,84.14,198738,1942,90517,45.55
09-Aug-2016,83.50,84.00,84.15,82.85,83.00,83.05,83.30,141461,1039,87958,62.18
10-Aug-2016,83.05,83.60,83.60,81.55,81.90,81.70,82.23,128932,1246,62772,48.69
11-Aug-2016,81.70,82.30,82.45,81.05,81.40,81.45,81.72,78358,856,37502,47.86
12-Aug-2016,81.45,81.45,83.50,80.85,81.20,81.20,81.84,142102,1313,71874,50.58
16-Aug-2016,81.20,81.45,81.95,80.60,80.70,81.15,81.37,88437,735,47869,54.13
17-Aug-2016,81.15,81.85,83.90,81.20,83.50,83.55,82.69,253566,2169,137196,54.11
18-Aug-2016,83.55,84.00,88.40,83.55,87.25,87.50,86.46,2728184,6713,2026039,74.26
19-Aug-2016,87.50,87.80,91.00,87.50,89.00,89.10,89.14,1327563,5445,786527,59.25
22-Aug-2016,89.10,88.75,88.75,78.05,83.80,84.40,82.95,2926354,17760,902825,30.85
23-Aug-2016,84.40,82.55,85.75,80.20,85.00,84.45,82.48,1068724,7282,327195,30.62
24-Aug-2016,84.45,83.40,84.55,82.35,82.75,83.00,83.44,374121,2575,170424,45.55
25-Aug-2016,83.00,83.40,86.90,82.25,83.00,83.10,85.03,931340,5852,252147,27.07
26-Aug-2016,83.10,83.60,84.80,82.05,82.25,82.55,83.22,225257,2193,75527,33.53
29-Aug-2016,82.55,83.90,83.90,80.50,80.50,80.65,81.51,199215,1749,112519,56.48
30-Aug-2016,80.65,80.65,82.50,80.65,81.00,81.15,81.40,128415,1395,55404,43.14
31-Aug-2016,81.15,81.90,83.45,80.90,81.50,81.40,82.10,249200,1970,85193,34.19
01-Sep-2016,81.40,82.40,83.50,81.00,81.25,81.10,81.96,233657,2607,71981,30.81
02-Sep-2016,81.10,81.15,83.50,81.00,82.25,81.90,82.20,263740,2055,117601,44.59
06-Sep-2016,81.90,82.75,82.80,73.00,81.10,81.35,81.34,274892,2523,102477,37.28
07-Sep-2016,81.35,82.75,82.75,80.85,81.00,81.20,81.49,167869,2691,95669,56.99
08-Sep-2016,81.20,81.00,82.00,77.55,79.35,79.60,79.96,544879,3678,273271,50.15
09-Sep-2016,79.60,80.00,80.00,77.75,78.00,78.20,78.73,213126,1803,141330,66.31
12-Sep-2016,78.20,76.00,78.00,71.35,76.70,76.75,76.27,270399,2913,80505,29.77
14-Sep-2016,76.75,76.05,79.95,76.05,78.20,78.15,78.72,336878,2861,80562,23.91
15-Sep-2016,78.15,78.65,79.55,76.55,76.55,77.05,77.98,125989,1522,69479,55.15
16-Sep-2016,77.05,77.40,78.65,72.70,73.35,73.60,74.41,575744,3930,454966,79.02
19-Sep-2016,73.60,73.65,76.95,73.65,73.85,74.05,74.98,305769,2560,132984,43.49
20-Sep-2016,74.05,75.00,75.50,73.50,73.60,74.05,74.26,191763,1497,90855,47.38
21-Sep-2016,74.05,75.80,78.00,75.20,77.00,76.95,76.88,728618,6522,251382,34.50
22-Sep-2016,76.95,77.40,77.90,76.10,76.10,76.40,76.85,117963,1261,63066,53.46
23-Sep-2016,76.40,77.00,77.70,75.40,76.20,75.95,76.60,153067,1520,85583,55.91
26-Sep-2016,75.95,74.10,75.70,74.10,75.05,75.10,75.07,100671,893,57578,57.19
27-Sep-2016,75.10,75.15,76.00,72.60,73.00,73.00,74.01,240615,3820,157058,65.27
28-Sep-2016,73.00,73.20,75.50,73.20,75.20,74.90,74.38,156919,1720,85928,54.76
29-Sep-2016,74.90,76.30,76.30,70.00,71.00,70.70,72.21,267294,2138,161318,60.35
30-Sep-2016,70.70,70.50,71.75,69.10,69.85,69.90,70.07,336759,4858,203495,60.43
03-Oct-2016,69.90,70.00,71.90,70.00,71.75,71.50,71.12,239099,1526,147404,61.65
04-Oct-2016,71.50,71.75,72.75,71.60,72.40,72.15,72.23,155479,1092,71122,45.74
