DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,106.30,105.70,106.50,104.10,104.55,104.90,104.91,681376,4676,586719,86.11
03-Aug-2016,104.90,104.90,105.00,101.70,102.10,102.25,103.29,408354,4787,312006,76.41
04-Aug-2016,102.25,102.10,104.30,101.75,102.75,103.25,102.47,2262686,8009,2107390,93.14
05-Aug-2016,103.25,103.70,104.45,102.55,102.85,103.10,103.08,464877,2597,392264,84.38
08-Aug-2016,103.10,103.30,103.85,101.35,101.95,101.90,101.99,545925,7475,439340,80.48
09-Aug-2016,101.90,102.70,102.95,101.20,102.90,102.40,102.05,1272107,19342,1129537,88.79
10-Aug-2016,102.40,102.15,103.15,101.50,103.00,102.70,102.06,484676,2877,419461,86.54
11-Aug-2016,102.70,103.00,105.40,102.40,104.40,104.90,104.30,693873,16223,536634,77.34
12-Aug-2016,104.90,105.00,108.00,104.80,107.20,106.90,106.91,586703,13557,433932,73.96
16-Aug-2016,106.90,105.85,108.10,103.95,105.15,105.00,106.03,336483,8252,175355,52.11
17-Aug-2016,105.00,105.65,106.40,103.00,103.75,103.75,104.14,521962,3354,431754,82.72
18-Aug-2016,103.75,103.75,104.55,101.30,102.15,102.00,102.72,1481126,20591,1303867,88.03
19-Aug-2016,102.00,102.05,103.50,102.05,103.35,103.20,102.99,939836,7881,772142,82.16
22-Aug-2016,103.20,82.60,82.60,82.60,82.60,82.60,82.60,553187,2071,553187,100.00
23-Aug-2016,82.60,66.10,66.10,66.10,66.10,66.10,66.10,523925,2668,523361,99.89
24-Aug-2016,66.10,59.50,59.50,59.50,59.50,59.50,59.50,625739,2945,625738,100.00
25-Aug-2016,59.50,53.55,62.20,53.55,54.55,54.05,56.86,103924396,257072,32622484,31.39
26-Aug-2016,54.05,54.90,57.70,49.10,49.50,49.40,53.19,62617764,165156,23768966,37.96
29-Aug-2016,49.40,50.50,51.40,47.45,48.50,48.45,49.95,22372481,75741,9739338,43.53
30-Aug-2016,48.45,48.60,49.00,46.05,46.50,46.65,46.99,27290269,76826,11575415,42.42
31-Aug-2016,46.65,46.80,48.95,46.80,48.55,48.70,48.46,33398508,66065,10712442,32.07
01-Sep-2016,48.70,49.95,51.10,49.25,51.10,51.10,50.88,26594505,29111,12929384,48.62
02-Sep-2016,51.10,53.65,53.65,53.65,53.65,53.65,53.65,947056,2057,947056,100.00
06-Sep-2016,53.65,56.30,56.30,56.30,56.30,56.30,56.30,1021171,2161,1021169,100.00
07-Sep-2016,56.30,59.10,59.10,55.30,59.10,58.85,58.24,31782443,56943,15010240,47.23
08-Sep-2016,58.85,59.80,61.50,57.10,59.30,59.25,59.76,21044389,85334,11457803,54.45
09-Sep-2016,59.25,59.50,59.60,56.50,56.70,56.80,57.49,10756529,35433,6104986,56.76
12-Sep-2016,56.80,54.00,58.90,54.00,56.60,56.50,56.30,17214927,45411,8188219,47.56
14-Sep-2016,56.50,57.10,58.40,56.25,57.80,57.85,57.50,5812984,29631,3088665,53.13
15-Sep-2016,57.85,58.00,58.65,55.65,56.70,56.60,56.74,5993667,20789,2696680,44.99
16-Sep-2016,56.60,56.60,59.40,56.50,59.40,58.90,58.21,10710629,25931,7015857,65.50
19-Sep-2016,58.90,59.05,59.20,57.00,57.05,57.05,57.95,11562815,21796,7564500,65.42
20-Sep-2016,57.05,56.95,56.95,55.55,55.75,55.75,55.97,3820958,11839,2528465,66.17
21-Sep-2016,55.75,56.45,56.60,54.60,55.30,55.30,55.52,3842371,27045,2436198,63.40
22-Sep-2016,55.30,56.25,56.30,54.65,55.00,55.00,55.18,2317430,12971,1536311,66.29
23-Sep-2016,55.00,55.50,56.90,54.60,55.60,55.50,55.56,3068457,12340,1659751,54.09
26-Sep-2016,55.50,56.00,56.75,55.55,56.10,56.00,56.15,4332712,20724,3101683,71.59
27-Sep-2016,56.00,56.20,56.60,55.50,55.75,55.70,55.96,1702388,8726,1149310,67.51
28-Sep-2016,55.70,55.50,56.20,55.05,55.35,55.20,55.29,1336846,4764,1017430,76.11
29-Sep-2016,55.20,55.70,55.75,52.45,52.45,52.45,53.71,2943910,13150,2208288,75.01
30-Sep-2016,52.45,52.05,53.45,51.70,52.35,52.50,52.29,2044095,7780,1165903,57.04
03-Oct-2016,52.50,53.10,55.10,52.80,54.70,54.85,54.59,3439203,8405,1844244,53.62
04-Oct-2016,54.85,56.65,57.55,55.15,55.95,55.90,56.13,5585083,16660,3067392,54.92
05-Oct-2016,55.90,56.35,56.90,55.05,55.80,56.05,55.76,3111039,8216,1418127,45.58
