DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,854.90,853.40,858.00,848.15,856.00,851.45,851.57,15912,1259,10872,68.33
03-Aug-2016,851.45,850.70,855.00,841.00,845.00,845.45,848.53,9133,574,7774,85.12
04-Aug-2016,845.45,845.90,858.50,845.90,852.05,852.45,852.93,5628,438,4204,74.70
05-Aug-2016,852.45,852.00,869.90,852.00,854.00,862.25,860.97,12854,1309,7216,56.14
08-Aug-2016,862.25,855.50,886.95,855.50,880.20,881.20,877.60,21022,1277,14583,69.37
09-Aug-2016,881.20,870.00,894.70,870.00,884.50,887.70,886.15,17594,1516,11092,63.04
10-Aug-2016,887.70,888.50,889.00,870.00,871.10,871.75,875.29,16366,1694,11808,72.15
11-Aug-2016,871.75,873.05,895.00,872.00,886.00,890.65,884.76,13736,1593,8034,58.49
12-Aug-2016,890.65,900.00,902.05,877.00,899.00,891.70,887.75,13555,1420,9236,68.14
16-Aug-2016,891.70,883.10,910.00,863.45,891.00,891.85,891.40,24076,2973,11880,49.34
17-Aug-2016,891.85,894.00,905.00,884.55,900.00,899.95,898.34,26100,1621,19834,75.99
18-Aug-2016,899.95,897.70,919.00,888.00,912.35,913.95,908.50,12150,1152,7739,63.70
19-Aug-2016,913.95,917.35,934.00,895.10,927.95,929.50,919.08,69307,3634,49890,71.98
22-Aug-2016,929.50,920.00,948.00,911.55,912.00,917.95,929.98,18774,1649,14991,79.85
23-Aug-2016,917.95,927.00,927.00,902.25,906.00,913.00,914.68,13746,1281,11556,84.07
24-Aug-2016,913.00,915.00,925.00,905.45,908.00,913.55,915.36,14253,1399,10512,73.75
25-Aug-2016,913.55,922.60,925.90,903.70,911.65,914.80,914.53,69571,2141,66282,95.27
26-Aug-2016,914.80,901.60,931.30,901.60,920.00,918.75,921.15,32548,1947,24446,75.11
