DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,557.70,558.00,559.00,548.00,551.00,549.60,551.05,1165562,33902,863400,74.08
03-Aug-2016,549.60,548.00,555.15,546.80,547.00,547.95,549.95,1444485,55917,1026116,71.04
04-Aug-2016,547.95,547.80,552.00,545.35,547.15,548.20,548.12,1149770,53632,730189,63.51
05-Aug-2016,548.20,545.95,552.50,545.60,546.25,547.20,548.53,582867,24055,339072,58.17
08-Aug-2016,547.20,546.25,552.85,546.25,548.35,549.00,549.64,1025346,24164,802102,78.23
09-Aug-2016,549.00,547.70,552.50,546.30,550.40,551.35,549.88,876922,18703,588592,67.12
10-Aug-2016,551.35,550.00,551.00,540.05,541.05,542.65,545.89,631833,29120,423656,67.05
11-Aug-2016,542.65,540.90,547.55,540.00,541.40,543.00,542.89,499801,14362,196997,39.42
12-Aug-2016,543.00,540.50,549.50,540.50,542.20,543.75,544.82,780651,23679,445945,57.12
16-Aug-2016,543.75,543.75,546.00,534.80,536.70,536.50,538.56,926075,25370,515925,55.71
17-Aug-2016,536.50,536.70,538.15,526.60,527.80,527.80,530.63,993836,26315,545692,54.91
18-Aug-2016,527.80,529.95,530.05,523.20,523.45,525.10,525.44,909700,28591,600530,66.01
19-Aug-2016,525.10,526.90,529.80,519.05,519.90,520.10,522.70,1031960,29684,631489,61.19
22-Aug-2016,520.10,518.00,520.00,514.50,514.75,515.50,515.90,1016786,26532,713119,70.13
23-Aug-2016,515.50,515.25,520.50,515.00,519.05,519.60,518.14,1154254,31227,720003,62.38
24-Aug-2016,519.60,520.10,522.00,517.05,518.55,519.65,519.67,1047588,30515,669246,63.88
25-Aug-2016,519.65,521.00,521.25,502.25,503.30,504.00,507.34,4837138,105944,3491535,72.18
26-Aug-2016,504.00,504.00,506.05,488.00,490.00,490.00,495.37,3318483,68692,2172098,65.45
29-Aug-2016,490.00,491.00,491.55,477.10,478.00,478.80,480.51,5095626,68982,4084298,80.15
30-Aug-2016,478.80,478.90,490.45,478.15,488.25,489.45,483.67,4531046,58579,3502753,77.31
31-Aug-2016,489.45,491.80,496.00,486.25,487.45,491.65,492.08,2811028,69638,1824604,64.91
01-Sep-2016,491.65,489.70,489.70,481.50,484.00,483.95,484.50,1988414,55957,1397558,70.29
02-Sep-2016,483.95,484.00,485.55,479.30,484.50,483.60,482.96,1614602,29473,1147000,71.04
06-Sep-2016,483.60,485.00,485.40,480.00,483.20,482.90,482.14,1592073,38565,1004870,63.12
07-Sep-2016,482.90,487.80,489.75,480.05,481.35,481.75,485.23,2147450,66314,1597221,74.38
08-Sep-2016,481.75,477.00,479.65,470.20,474.30,473.95,473.61,2229724,64873,1358730,60.94
09-Sep-2016,473.95,477.60,483.00,474.30,480.00,480.65,479.61,1896208,42209,1171635,61.79
12-Sep-2016,480.65,474.80,483.40,472.15,482.00,480.40,481.27,1887831,42149,1268252,67.18
14-Sep-2016,480.40,484.50,484.95,475.85,478.00,478.05,478.61,1842448,33154,1419355,77.04
15-Sep-2016,478.05,479.80,479.80,474.25,479.70,478.45,477.24,1814622,24594,1398269,77.06
16-Sep-2016,478.45,481.30,482.30,478.00,479.95,479.40,479.52,2310804,41699,1809646,78.31
19-Sep-2016,479.40,480.00,481.95,476.20,481.50,479.95,479.26,2118736,29431,1582138,74.67
20-Sep-2016,479.95,482.50,482.50,478.10,481.00,481.05,480.39,1092998,29753,729391,66.73
21-Sep-2016,481.05,482.95,484.50,480.25,483.70,483.85,482.14,1625366,34280,1318664,81.13
22-Sep-2016,483.85,485.00,485.20,479.60,482.00,481.75,481.53,1431194,31004,952039,66.52
