DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,998.35,1000.00,1016.50,980.00,981.60,985.85,998.40,861772,20952,113074,13.12
03-Aug-2016,985.85,983.00,1037.00,962.00,1000.50,1001.05,1008.02,2460192,61690,201895,8.21
04-Aug-2016,1001.05,1011.00,1026.80,999.40,1010.50,1010.40,1012.27,1233882,29327,134626,10.91
05-Aug-2016,1010.40,1018.40,1026.00,1001.10,1015.00,1015.15,1016.11,800880,19041,111097,13.87
08-Aug-2016,1015.15,952.00,952.00,877.95,913.50,915.05,913.25,4689914,115242,703690,15.00
09-Aug-2016,915.05,914.00,925.55,905.20,909.00,908.45,916.24,1276911,31983,293813,23.01
10-Aug-2016,908.45,914.00,918.95,871.60,873.65,876.75,889.53,1276663,36142,398890,31.24
11-Aug-2016,876.75,880.00,891.50,859.00,867.95,867.40,876.72,1084261,27910,237569,21.91
12-Aug-2016,867.40,871.70,879.55,803.50,807.75,810.65,829.68,2920852,72708,1013584,34.70
16-Aug-2016,810.65,802.00,802.00,766.00,778.00,780.95,783.87,2912955,65527,678740,23.30
17-Aug-2016,780.95,778.95,810.00,773.15,785.40,788.70,794.73,2099464,48696,368460,17.55
18-Aug-2016,788.70,796.00,800.95,787.10,792.00,790.80,794.12,849425,21603,168177,19.80
19-Aug-2016,790.80,794.80,811.75,791.00,798.00,797.30,801.77,1337295,32350,269794,20.17
22-Aug-2016,797.30,801.95,808.00,784.30,786.00,786.75,794.40,814416,21412,191804,23.55
23-Aug-2016,786.75,785.70,805.00,780.10,792.85,792.05,793.85,1005214,25031,133380,13.27
24-Aug-2016,792.05,796.65,809.00,793.05,805.45,803.20,802.38,1077720,22405,236259,21.92
25-Aug-2016,803.20,812.00,847.80,811.90,833.25,830.10,833.60,3733718,77635,730485,19.56
26-Aug-2016,830.10,836.00,839.30,815.00,816.40,818.45,823.48,848007,20161,133743,15.77
29-Aug-2016,818.45,819.00,832.45,804.25,820.75,820.05,818.90,946807,22202,102298,10.80
30-Aug-2016,820.05,825.00,835.60,823.30,830.00,830.25,830.33,765404,17893,164233,21.46
31-Aug-2016,830.25,830.15,838.50,814.00,817.00,817.65,827.88,740574,18610,145615,19.66
01-Sep-2016,817.65,817.00,828.80,802.00,811.00,809.20,816.06,674877,16553,86353,12.80
02-Sep-2016,809.20,813.00,824.40,805.50,816.30,816.95,813.77,724733,17323,129174,17.82
06-Sep-2016,816.95,817.00,828.80,817.00,821.65,821.20,822.48,448117,12120,82576,18.43
07-Sep-2016,821.20,823.60,839.70,817.25,833.00,832.10,831.23,957839,21454,288645,30.14
08-Sep-2016,832.10,835.70,883.40,830.00,880.00,876.95,857.74,2337594,53589,526241,22.51
09-Sep-2016,876.95,881.40,889.15,851.00,853.80,856.55,873.26,1879430,45568,343137,18.26
12-Sep-2016,856.55,839.00,846.00,815.00,820.80,818.65,829.97,1084749,31546,284151,26.20
14-Sep-2016,818.65,826.00,842.50,820.00,830.30,831.85,830.45,1061801,26627,202347,19.06
15-Sep-2016,831.85,833.80,849.70,832.05,837.50,837.75,841.71,736948,18318,115098,15.62
16-Sep-2016,837.75,845.30,958.95,843.00,910.00,909.65,911.02,9708546,209559,1047034,10.78
19-Sep-2016,909.65,917.00,931.10,883.05,888.00,890.65,902.07,3221327,74646,646517,20.07
20-Sep-2016,890.65,893.90,933.50,892.00,909.90,911.35,918.03,3439284,81438,471153,13.70
21-Sep-2016,911.35,916.00,928.00,868.15,889.90,891.45,895.80,3712868,77029,415295,11.19
22-Sep-2016,891.45,906.25,911.90,894.65,895.10,898.60,901.19,1579150,38375,252888,16.01
23-Sep-2016,898.60,897.60,906.45,880.10,885.50,883.95,892.42,987500,23398,211459,21.41
26-Sep-2016,883.95,885.45,928.00,882.10,906.00,910.05,911.70,2920095,63215,478839,16.40
27-Sep-2016,910.05,911.75,929.00,900.90,904.30,903.50,914.63,1677778,36063,219676,13.09
28-Sep-2016,903.50,904.80,913.50,901.00,906.90,904.60,907.26,922473,19410,127478,13.82
29-Sep-2016,904.60,912.80,945.00,855.00,868.00,863.90,901.22,4881165,92448,630789,12.92
30-Sep-2016,863.90,869.85,888.95,862.55,880.00,878.35,875.36,2178162,42962,348157,15.98
03-Oct-2016,878.35,889.90,907.45,885.30,894.05,896.00,897.33,1160319,25599,231533,19.95
04-Oct-2016,896.00,921.00,937.00,897.00,923.10,920.40,919.84,3572596,77139,469732,13.15
05-Oct-2016,920.40,922.40,924.95,910.00,912.00,912.90,914.54,896533,19854,126821,14.15
06-Oct-2016,912.90,917.45,924.00,892.80,900.00,899.85,908.51,893209,21151,154081,17.25
07-Oct-2016,899.85,903.70,909.80,885.15,893.25,894.25,899.38,836397,18672,110615,13.23
10-Oct-2016,894.25,899.75,902.00,885.15,890.00,889.75,893.13,658456,14132,90811,13.79
13-Oct-2016,889.75,888.50,889.00,867.10,875.00,875.25,876.83,783444,19455,159060,20.30
14-Oct-2016,875.25,879.00,886.45,873.45,875.50,876.00,878.93,504958,13016,93132,18.44
17-Oct-2016,876.00,878.45,883.90,857.05,861.50,862.05,869.45,629533,14938,126215,20.05
18-Oct-2016,862.05,866.90,879.45,866.50,874.00,872.70,871.83,627084,14130,110129,17.56
19-Oct-2016,872.70,877.20,899.00,875.85,880.75,881.55,886.25,972956,22495,138025,14.19
20-Oct-2016,881.55,887.55,890.00,876.60,878.00,879.60,882.85,539904,13296,95442,17.68
21-Oct-2016,879.60,882.95,885.85,871.00,877.00,876.40,876.74,399042,10555,62718,15.72
24-Oct-2016,876.40,880.00,898.90,872.80,884.65,885.05,887.20,738329,15290,142630,19.32
25-Oct-2016,885.05,888.75,889.50,876.00,880.00,879.70,881.98,366624,7895,59152,16.13
26-Oct-2016,879.70,870.00,881.70,860.35,862.10,863.75,869.26,427066,10706,119649,28.02
27-Oct-2016,863.75,861.80,868.80,851.05,853.40,853.20,858.42,578798,14547,148220,25.61
28-Oct-2016,853.20,854.60,878.20,850.10,869.00,868.85,864.80,840895,19035,109900,13.07
30-Oct-2016,868.85,872.45,874.35,867.05,870.00,871.20,871.92,152624,3884,68859,45.12
01-Nov-2016,871.20,873.95,892.50,872.05,881.00,880.00,883.26,1061466,19588,240083,22.62
02-Nov-2016,880.00,870.20,870.20,845.80,849.00,848.80,857.36,696120,15648,197451,28.36
03-Nov-2016,848.80,848.80,862.50,833.00,835.50,835.50,846.89,608593,15822,118727,19.51
04-Nov-2016,835.50,834.00,834.00,792.00,797.00,797.55,808.55,1210592,28685,238729,19.72
07-Nov-2016,797.55,810.00,823.50,806.70,814.00,811.45,815.38,556396,15650,96236,17.30
08-Nov-2016,811.45,815.00,820.00,790.10,804.00,804.60,803.66,785974,20287,113733,14.47
09-Nov-2016,804.60,724.15,805.00,688.15,791.90,790.10,765.02,1717471,44765,186366,10.85
10-Nov-2016,790.10,812.00,822.50,805.45,814.95,813.85,815.22,674841,17678,138089,20.46
11-Nov-2016,813.85,780.00,800.80,767.55,786.95,784.10,787.45,1214006,29377,138976,11.45
15-Nov-2016,784.10,795.90,795.90,748.10,761.50,760.20,766.47,659981,18057,111986,16.97
16-Nov-2016,760.20,778.70,780.00,736.95,740.00,741.15,758.82,762221,21073,146243,19.19
17-Nov-2016,741.15,740.00,744.60,723.25,728.00,727.35,732.70,667805,19264,149467,22.38
18-Nov-2016,727.35,731.00,741.50,725.00,731.00,730.75,734.40,598099,18887,79430,13.28
21-Nov-2016,730.75,739.00,739.85,689.25,690.60,692.75,710.09,839902,23329,201526,23.99
22-Nov-2016,692.75,698.90,703.00,683.05,690.50,689.20,691.39,784995,18679,124249,15.83
23-Nov-2016,689.20,667.50,685.70,657.00,673.00,674.30,672.45,1890844,42574,219048,11.58
24-Nov-2016,674.30,672.00,686.50,663.55,668.00,672.05,673.71,1412316,36370,400484,28.36
25-Nov-2016,672.05,675.05,681.40,668.20,671.80,674.70,674.16,1523758,35585,589498,38.69
28-Nov-2016,674.70,675.10,693.90,675.10,683.65,684.70,685.97,1064329,23943,176339,16.57
29-Nov-2016,684.70,688.70,709.70,688.00,694.80,694.65,699.32,1401691,33246,209565,14.95
30-Nov-2016,694.65,699.40,706.90,697.90,701.00,701.30,702.52,619708,15195,121134,19.55
01-Dec-2016,701.30,705.00,721.00,700.10,706.80,704.40,710.59,1245443,27557,153717,12.34
02-Dec-2016,704.40,703.40,710.00,690.00,694.90,693.15,699.75,682826,16271,125487,18.38
05-Dec-2016,693.15,696.20,699.90,680.10,688.30,687.90,689.39,678677,16192,105110,15.49
06-Dec-2016,687.90,689.00,700.65,689.00,693.80,693.85,695.39,563426,11742,72470,12.86
07-Dec-2016,693.85,698.90,698.90,682.10,687.90,685.45,688.38,537400,11235,69489,12.93
08-Dec-2016,685.45,690.00,695.80,686.45,692.00,692.55,691.86,402578,9506,72919,18.11
09-Dec-2016,692.55,694.00,699.60,688.65,693.75,692.20,695.00,428507,9645,84855,19.80
12-Dec-2016,692.20,692.00,696.00,685.20,687.00,688.00,690.38,453237,9617,64156,14.16
13-Dec-2016,688.00,689.00,694.90,688.00,689.05,690.10,690.92,310810,7092,54799,17.63
14-Dec-2016,690.10,709.95,722.50,697.00,700.00,700.60,712.93,2478982,53176,251805,10.16
15-Dec-2016,700.60,694.00,703.75,690.50,693.50,693.40,696.52,607224,12872,86198,14.20
16-Dec-2016,693.40,696.00,696.90,680.10,683.30,684.55,687.52,554393,13578,121569,21.93
19-Dec-2016,684.55,686.40,691.00,681.00,682.00,682.75,685.21,394541,9590,71107,18.02
20-Dec-2016,682.75,698.90,703.75,677.25,685.40,683.30,691.20,1205789,25076,165848,13.75
21-Dec-2016,683.30,686.60,688.40,666.00,669.00,669.05,678.02,679604,13554,129027,18.99
22-Dec-2016,669.05,665.00,669.00,655.30,666.00,662.30,660.18,705432,17246,108955,15.45
23-Dec-2016,662.30,663.00,672.45,656.75,662.30,661.90,663.42,621618,12975,87878,14.14
26-Dec-2016,661.90,659.85,659.90,632.00,632.35,636.20,643.23,676133,16799,162536,24.04
27-Dec-2016,636.20,634.00,645.00,627.20,639.90,640.60,636.91,603646,13846,106179,17.59
28-Dec-2016,640.60,640.40,655.00,639.90,645.95,646.25,648.05,652966,14355,106312,16.28
29-Dec-2016,646.25,647.00,653.00,641.60,651.35,648.40,645.71,583273,12273,114867,19.69
30-Dec-2016,648.40,652.00,672.00,652.00,656.00,657.75,662.20,1680575,24112,741081,44.10
02-Jan-2017,657.75,660.95,671.00,658.05,665.15,666.40,663.86,579123,12901,97246,16.79
03-Jan-2017,666.40,668.90,678.80,663.05,667.55,666.35,672.21,815838,18242,129270,15.85
04-Jan-2017,666.35,650.00,671.00,640.65,664.60,665.60,659.62,1544872,29563,143785,9.31
05-Jan-2017,665.60,667.00,676.50,662.90,672.10,673.45,670.47,707388,15007,109747,15.51
06-Jan-2017,673.45,702.00,727.90,698.00,708.40,710.90,715.66,6490308,122000,456785,7.04
09-Jan-2017,710.90,710.95,713.90,691.05,699.00,698.50,702.36,1149917,24020,197246,17.15
10-Jan-2017,698.50,702.00,707.80,695.05,697.90,699.40,701.16,763097,17827,152179,19.94
11-Jan-2017,699.40,707.00,708.00,694.00,696.00,696.85,699.95,915687,25651,192881,21.06
12-Jan-2017,696.85,687.90,691.40,680.15,685.95,686.15,686.12,939629,22930,189960,20.22
13-Jan-2017,686.15,688.90,699.80,687.05,694.10,695.60,694.30,743643,15832,129555,17.42
16-Jan-2017,695.60,693.00,693.90,685.50,689.40,688.30,689.66,380925,7629,72861,19.13
17-Jan-2017,688.30,690.95,694.50,679.05,682.80,683.60,685.34,581194,12126,154855,26.64
18-Jan-2017,683.60,685.90,696.90,683.80,691.90,690.95,690.04,554997,11227,96432,17.38
19-Jan-2017,690.95,694.00,694.45,682.10,685.00,685.35,687.30,318280,7636,68680,21.58
20-Jan-2017,685.35,685.00,691.50,675.00,676.80,676.65,682.06,538267,13617,98684,18.33
23-Jan-2017,676.65,675.00,675.00,656.00,672.85,670.75,669.42,399129,9801,63656,15.95
24-Jan-2017,670.75,674.15,687.75,670.45,682.40,682.45,680.10,624783,12560,91709,14.68
25-Jan-2017,682.45,660.00,671.95,657.25,660.90,661.50,665.19,1403499,28121,297162,21.17
27-Jan-2017,661.50,664.70,672.75,662.00,668.50,668.50,667.73,698209,15117,112281,16.08
30-Jan-2017,668.50,668.00,676.00,661.35,663.00,663.85,667.14,474651,11367,104521,22.02
31-Jan-2017,663.85,664.40,666.95,645.20,646.10,647.40,653.48,649803,14098,204854,31.53
01-Feb-2017,647.40,647.40,647.75,634.25,640.00,641.60,640.64,600972,14145,120036,19.97
02-Feb-2017,641.60,640.85,671.40,639.65,664.00,665.10,657.99,1291502,25838,284773,22.05
03-Feb-2017,665.10,668.00,699.95,666.30,685.95,686.50,682.84,1704447,33771,326707,19.17
06-Feb-2017,686.50,693.00,731.00,688.00,715.00,714.50,713.06,4001841,73466,784331,19.60
07-Feb-2017,714.50,719.00,724.90,699.25,702.95,703.15,712.21,1314296,26076,208023,15.83
08-Feb-2017,703.15,702.00,705.70,684.00,688.00,689.05,692.38,960910,19166,243401,25.33
09-Feb-2017,689.05,691.90,698.95,675.00,684.50,685.40,687.68,783095,15127,166297,21.24
10-Feb-2017,685.40,688.55,695.00,678.00,685.60,686.95,688.00,715081,14553,126307,17.66
13-Feb-2017,686.95,690.00,691.45,666.55,669.20,671.60,675.26,819190,16601,210276,25.67
14-Feb-2017,671.60,670.20,677.95,668.35,668.60,670.95,673.19,548017,11259,97060,17.71
15-Feb-2017,670.95,668.60,672.55,656.10,659.15,659.50,662.91,586073,12171,135654,23.15
16-Feb-2017,659.50,662.20,688.80,660.40,684.00,684.15,674.94,982576,21101,193199,19.66
17-Feb-2017,684.15,689.50,713.80,684.75,699.00,700.05,702.43,2369526,44228,412191,17.40
20-Feb-2017,700.05,703.20,723.00,700.10,716.00,715.00,714.80,1648765,41129,341627,20.72
21-Feb-2017,715.00,715.95,728.80,704.00,720.00,720.45,716.47,1323269,25600,319442,24.14
22-Feb-2017,720.45,724.10,724.10,697.00,710.00,711.35,709.97,1147597,22908,253172,22.06
23-Feb-2017,711.35,711.00,722.70,702.00,708.00,704.60,711.30,933611,19035,185320,19.85
27-Feb-2017,704.60,707.95,773.50,705.00,757.00,760.55,751.32,6096664,124768,946214,15.52
28-Feb-2017,760.55,761.85,771.00,746.25,754.00,752.30,760.25,2490232,46701,405250,16.27
01-Mar-2017,752.30,756.10,770.00,745.50,748.55,750.00,759.69,1503792,29880,260980,17.35
02-Mar-2017,750.00,717.00,729.00,701.00,712.65,713.65,717.29,5324812,95979,613565,11.52
03-Mar-2017,713.65,712.20,725.40,706.00,721.60,720.85,719.88,1378493,25254,239372,17.36
06-Mar-2017,720.85,721.00,750.00,714.30,736.55,737.25,737.55,2301644,44672,341174,14.82
07-Mar-2017,737.25,740.50,753.40,726.45,736.00,737.40,742.12,1422486,28234,146861,10.32
08-Mar-2017,737.40,718.70,749.95,711.00,738.00,739.00,735.28,3788353,68166,219498,5.79
09-Mar-2017,739.00,736.80,746.95,726.45,730.70,731.10,738.30,1372244,26799,162157,11.82
10-Mar-2017,731.10,738.50,741.90,723.25,725.50,726.35,732.54,794867,14091,126475,15.91
14-Mar-2017,726.35,745.00,745.00,727.35,729.50,730.65,733.93,1264144,28709,345890,27.36
15-Mar-2017,730.65,733.90,741.45,732.15,733.90,735.20,736.44,607762,10242,164474,27.06
16-Mar-2017,735.20,741.00,759.45,737.50,745.00,746.30,750.54,1608199,30747,272756,16.96
17-Mar-2017,746.30,753.00,758.70,736.40,741.95,743.20,747.85,995677,20229,159837,16.05
20-Mar-2017,743.20,743.20,752.35,741.00,746.15,746.40,747.12,735224,13910,141155,19.20
