DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,1221.40,1226.00,1244.50,1222.85,1229.40,1228.40,1233.86,1891044,59984,672298,35.55
03-Aug-2016,1228.40,1233.00,1244.90,1217.65,1234.55,1235.55,1233.35,2806973,95786,1366308,48.68
04-Aug-2016,1235.55,1240.50,1245.30,1220.05,1231.00,1231.55,1228.24,1843826,60666,726704,39.41
05-Aug-2016,1231.55,1239.80,1263.00,1234.50,1259.75,1258.45,1251.41,2136223,78955,978703,45.81
08-Aug-2016,1258.45,1268.15,1270.00,1255.20,1264.00,1265.25,1263.89,1297207,46376,558502,43.05
09-Aug-2016,1265.25,1265.15,1265.85,1251.00,1259.85,1259.85,1257.67,1739978,68670,939427,53.99
10-Aug-2016,1259.85,1264.00,1271.85,1247.60,1265.00,1267.40,1260.68,2459788,68481,1268614,51.57
11-Aug-2016,1267.40,1265.00,1265.00,1236.10,1254.20,1252.50,1246.75,3542392,99481,1753344,49.50
12-Aug-2016,1252.50,1254.00,1294.00,1253.00,1291.00,1290.70,1284.41,3488899,161330,1924607,55.16
16-Aug-2016,1290.70,1298.95,1314.95,1289.90,1294.85,1294.95,1301.63,2818873,98660,1313467,46.60
17-Aug-2016,1294.95,1301.00,1309.90,1285.30,1307.00,1308.35,1301.48,1639390,76621,570044,34.77
18-Aug-2016,1308.35,1310.20,1324.75,1308.00,1321.30,1320.65,1318.14,1852179,53984,940359,50.77
19-Aug-2016,1320.65,1321.00,1339.00,1316.00,1338.50,1335.95,1330.57,1664226,48644,746251,44.84
22-Aug-2016,1335.95,1335.00,1349.25,1332.70,1341.05,1343.30,1342.72,2159542,74289,1132536,52.44
23-Aug-2016,1343.30,1343.20,1351.35,1335.50,1340.05,1341.25,1343.56,2124475,81720,1133486,53.35
24-Aug-2016,1341.25,1341.25,1342.85,1330.05,1336.00,1337.85,1337.65,1851160,70506,988785,53.41
25-Aug-2016,1337.85,1339.30,1349.60,1337.00,1347.00,1343.55,1344.00,3671732,115736,2469519,67.26
26-Aug-2016,1343.55,1346.60,1347.00,1319.05,1326.60,1326.50,1325.79,2314223,116358,1314021,56.78
29-Aug-2016,1326.50,1324.70,1343.00,1317.00,1342.75,1338.65,1325.80,2987198,102631,2006798,67.18
30-Aug-2016,1338.65,1343.00,1374.75,1340.20,1355.15,1355.20,1357.96,3270579,95395,1929463,58.99
31-Aug-2016,1355.20,1360.00,1382.30,1342.00,1378.05,1366.10,1363.54,23168932,274031,17460522,75.36
01-Sep-2016,1366.10,1369.70,1376.65,1360.15,1365.00,1364.85,1367.70,2015662,70992,976721,48.46
02-Sep-2016,1364.85,1365.00,1394.25,1362.30,1391.00,1388.35,1379.42,2073640,55611,1093712,52.74
06-Sep-2016,1388.35,1389.95,1449.00,1389.95,1448.00,1440.80,1426.09,3144961,108164,1434586,45.62
07-Sep-2016,1440.80,1447.70,1447.70,1390.05,1406.00,1401.55,1413.26,5120094,134773,3153501,61.59
08-Sep-2016,1401.55,1387.15,1390.00,1321.25,1323.45,1328.25,1350.50,7127308,154527,3582599,50.27
09-Sep-2016,1328.25,1250.05,1315.00,1246.95,1275.50,1276.25,1283.99,15748512,262975,4730749,30.04
12-Sep-2016,1276.25,1249.00,1249.00,1197.00,1199.50,1205.10,1215.33,8790869,157874,4216028,47.96
14-Sep-2016,1205.10,1203.10,1256.95,1203.10,1254.00,1253.50,1232.48,6382271,133712,2181913,34.19
15-Sep-2016,1253.50,1240.00,1240.00,1206.20,1224.60,1221.80,1221.40,4831932,106301,1422109,29.43
16-Sep-2016,1221.80,1232.00,1239.35,1158.90,1174.65,1169.80,1198.98,10291738,223104,3948058,38.36
19-Sep-2016,1169.80,1166.00,1193.75,1155.80,1179.55,1177.35,1176.36,7352710,138510,2480726,33.74
20-Sep-2016,1177.35,1189.10,1213.45,1171.30,1207.00,1207.05,1192.27,4774321,111391,1388453,29.08
21-Sep-2016,1207.05,1209.10,1227.80,1209.10,1221.10,1220.25,1220.68,3740663,91064,1289721,34.48
22-Sep-2016,1220.25,1245.00,1259.00,1230.90,1243.50,1246.55,1242.23,4631410,94226,2035910,43.96
23-Sep-2016,1246.55,1245.00,1248.90,1228.05,1231.55,1233.15,1239.30,2034020,50400,569110,27.98
26-Sep-2016,1233.15,1221.95,1243.00,1216.25,1235.10,1235.35,1231.08,2402922,56581,804935,33.50
27-Sep-2016,1235.35,1247.00,1251.80,1238.20,1250.00,1246.90,1245.43,2938429,71447,1488139,50.64
28-Sep-2016,1246.90,1246.00,1274.80,1245.00,1270.90,1271.20,1266.42,3143505,82515,996524,31.70
29-Sep-2016,1271.20,1276.00,1304.95,1225.00,1238.80,1230.80,1264.21,8602463,153309,2873033,33.40
30-Sep-2016,1230.80,1231.55,1259.10,1211.55,1256.30,1254.70,1246.24,4189759,84131,1468231,35.04
03-Oct-2016,1254.70,1275.00,1283.00,1263.25,1271.60,1270.25,1273.09,2167577,69620,674155,31.10
04-Oct-2016,1270.25,1280.00,1291.80,1270.30,1290.25,1284.05,1280.21,2233478,65118,721035,32.28
05-Oct-2016,1284.05,1294.00,1297.50,1271.00,1274.00,1279.15,1284.56,1696408,46862,434616,25.62
06-Oct-2016,1279.15,1237.10,1295.00,1231.50,1280.05,1280.05,1270.78,5919913,122800,1138383,19.23
07-Oct-2016,1280.05,1276.00,1284.80,1266.15,1273.95,1273.80,1273.98,1796464,41573,469138,26.11
10-Oct-2016,1273.80,1279.00,1290.00,1276.00,1279.45,1279.50,1282.57,1226587,30353,243872,19.88
