DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,30.55,30.80,30.90,30.15,30.50,30.55,30.56,163219,856,94684,58.01
03-Aug-2016,30.55,30.25,30.55,29.60,30.45,30.20,30.11,177282,549,99427,56.08
04-Aug-2016,30.20,30.50,30.60,29.80,29.80,30.00,30.23,177667,414,114826,64.63
05-Aug-2016,30.00,30.25,30.50,29.80,30.00,29.95,30.16,142577,406,111667,78.32
08-Aug-2016,29.95,30.20,31.45,30.10,31.25,31.30,30.86,306766,1195,229192,74.71
09-Aug-2016,31.30,31.30,32.10,30.40,30.75,30.90,31.12,328260,1349,193835,59.05
10-Aug-2016,30.90,30.80,31.25,30.15,30.30,30.25,30.48,178376,689,112696,63.18
11-Aug-2016,30.25,30.35,30.60,30.15,30.35,30.25,30.31,81852,289,50159,61.28
12-Aug-2016,30.25,30.40,30.75,30.25,30.25,30.30,30.41,83784,330,52667,62.86
16-Aug-2016,30.30,30.50,30.65,29.85,30.05,30.10,30.20,118408,402,90105,76.10
17-Aug-2016,30.10,31.00,36.00,31.00,33.55,33.65,34.47,4884129,16492,1268796,25.98
18-Aug-2016,33.65,34.50,39.80,34.35,37.45,37.40,37.08,4035057,12343,1842452,45.66
19-Aug-2016,37.40,37.65,38.95,36.30,38.75,38.10,37.96,1482865,4884,885403,59.71
22-Aug-2016,38.10,38.70,38.70,34.15,35.85,35.75,36.14,698013,3047,397962,57.01
23-Aug-2016,35.75,36.00,36.70,35.10,36.25,36.00,35.92,309750,1592,185837,60.00
24-Aug-2016,36.00,36.20,36.50,35.85,36.20,36.00,36.09,145379,677,90252,62.08
25-Aug-2016,36.00,36.20,36.40,35.60,35.80,35.80,35.97,342833,1036,124649,36.36
26-Aug-2016,35.80,36.00,36.40,34.00,35.00,34.75,34.98,328416,1359,168326,51.25
29-Aug-2016,34.75,34.35,36.50,32.00,36.20,36.25,35.42,430004,2183,208732,48.54
30-Aug-2016,36.25,36.45,36.60,35.50,36.00,36.15,36.06,292923,930,218696,74.66
31-Aug-2016,36.15,36.50,36.95,35.90,36.95,36.50,36.42,281943,1098,135375,48.02
01-Sep-2016,36.50,36.00,37.50,35.40,36.85,37.00,36.64,211701,592,136574,64.51
02-Sep-2016,37.00,37.00,37.45,36.20,36.30,36.45,36.89,124398,504,78918,63.44
06-Sep-2016,36.45,36.45,37.80,36.00,36.50,36.50,36.85,159332,1076,77485,48.63
07-Sep-2016,36.50,36.90,37.00,36.00,36.00,36.45,36.56,72108,425,36666,50.85
08-Sep-2016,36.45,36.50,37.55,36.50,37.00,36.95,36.98,131017,651,72896,55.64
09-Sep-2016,36.95,37.00,38.00,36.50,36.80,37.15,37.06,242142,648,132422,54.69
12-Sep-2016,37.15,36.50,37.00,35.95,36.00,36.00,36.40,313393,976,188755,60.23
14-Sep-2016,36.00,35.75,37.55,35.75,36.80,36.90,36.95,199259,1452,126612,63.54
15-Sep-2016,36.90,36.90,38.40,36.60,37.55,37.70,37.60,349686,2369,188413,53.88
16-Sep-2016,37.70,37.45,41.70,37.35,38.45,38.65,39.78,1629356,9051,853299,52.37
19-Sep-2016,38.65,38.70,39.80,37.15,39.00,38.25,38.59,432587,3559,203533,47.05
20-Sep-2016,38.25,38.25,38.50,37.50,37.65,37.75,37.77,436834,851,303118,69.39
21-Sep-2016,37.75,38.00,38.65,37.35,37.90,37.90,38.10,358640,1106,225760,62.95
22-Sep-2016,37.90,38.45,38.50,37.15,37.20,37.25,37.75,488794,1747,308556,63.13
23-Sep-2016,37.25,37.65,37.65,36.15,36.15,36.55,37.01,463525,1032,252032,54.37
26-Sep-2016,36.55,36.40,37.50,36.30,36.35,36.40,36.87,428664,1432,210283,49.06
27-Sep-2016,36.40,37.00,37.25,36.30,36.85,36.80,36.84,133598,518,83739,62.68
28-Sep-2016,36.80,37.25,37.25,36.50,36.50,36.70,36.87,248815,393,204575,82.22
29-Sep-2016,36.70,36.95,37.10,33.40,34.25,34.15,35.21,409345,1226,290025,70.85
30-Sep-2016,34.15,34.85,35.70,33.90,35.60,35.20,35.15,361903,863,293053,80.98
03-Oct-2016,35.20,35.20,36.70,34.80,36.50,36.10,35.83,354660,786,299262,84.38
04-Oct-2016,36.10,36.50,36.80,35.70,36.50,36.35,36.23,262051,471,221632,84.58
05-Oct-2016,36.35,36.40,37.50,36.40,36.85,37.15,37.15,370451,756,322376,87.02
06-Oct-2016,37.15,37.30,38.10,37.00,37.30,37.25,37.62,344235,1103,244191,70.94
07-Oct-2016,37.25,37.25,37.60,36.40,37.00,36.80,36.86,87688,458,51945,59.24
10-Oct-2016,36.80,37.00,37.40,35.60,36.65,36.55,36.65,138550,701,78048,56.33
13-Oct-2016,36.55,36.50,36.50,35.15,35.25,35.40,35.72,201903,900,80512,39.88
14-Oct-2016,35.40,35.70,36.30,35.15,35.75,35.60,35.76,135622,530,47989,35.38
17-Oct-2016,35.60,35.30,36.25,35.10,35.75,35.40,35.77,221550,589,104074,46.98
18-Oct-2016,35.40,35.75,36.60,35.10,36.35,36.40,36.04,171390,959,71038,41.45
19-Oct-2016,36.40,37.00,38.00,36.05,37.50,37.50,37.42,471370,1878,268100,56.88
20-Oct-2016,37.50,37.85,38.00,37.05,37.45,37.30,37.41,341361,1378,135931,39.82
21-Oct-2016,37.30,37.35,40.35,37.00,38.20,38.40,38.99,4133515,13939,969615,23.46
24-Oct-2016,38.40,38.85,39.60,38.50,38.70,38.60,38.87,642759,2442,353828,55.05
25-Oct-2016,38.60,38.80,39.20,38.45,38.55,38.60,38.72,256786,947,128801,50.16
26-Oct-2016,38.60,38.55,38.75,38.00,38.35,38.10,38.32,299060,966,112245,37.53
27-Oct-2016,38.10,38.00,39.20,37.80,38.00,38.15,38.37,243558,854,175855,72.20
28-Oct-2016,38.15,38.40,39.70,38.00,39.50,39.50,39.04,486640,1900,342029,70.28
30-Oct-2016,39.50,40.00,40.50,39.50,40.00,40.20,40.19,380979,1306,279393,73.34
01-Nov-2016,40.20,40.50,40.60,38.70,39.55,39.50,39.68,291427,1236,199665,68.51
02-Nov-2016,39.50,39.10,39.20,38.30,38.45,38.40,38.65,409743,1344,296026,72.25
03-Nov-2016,38.40,38.35,39.15,38.00,38.10,38.15,38.55,668760,883,593813,88.79
04-Nov-2016,38.15,38.25,38.30,36.55,36.55,37.05,37.37,345353,1040,236284,68.42
07-Nov-2016,37.05,37.20,38.20,37.20,37.75,37.70,37.72,146956,480,115128,78.34
08-Nov-2016,37.70,38.10,38.50,37.40,38.30,38.05,37.96,156648,609,94155,60.11
