symbol,name,industry,ISIN_code
3MINDIA,3M India Ltd.,SERVICES,INE470A01017
8KMILES,8K Miles Soft Services Ltd.,IT,INE650K01021
AARTIIND,Aarti Industries Ltd.,CHEMICALS,INE769A01020
ABAN,Aban Offshore Ltd.,ENERGY,INE421A01028
ABB,ABB India Ltd.,INDUSTRIAL MANUFACTURING,INE117A01022
ABCAPITAL,Aditya Birla Capital Ltd.,FINANCIAL SERVICES,INE674K01013
ABFRL,Aditya Birla Fashion and Retail Ltd.,CONSUMER GOODS,INE647O01011
ACC,ACC Ltd.,CEMENT & CEMENT PRODUCTS,INE012A01025
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SERVICES,INE742F01042
ADANIPOWER,Adani Power Ltd.,ENERGY,INE814H01011
ADANITRANS,Adani Transmission Ltd.,ENERGY,INE931S01010
ADVENZYMES,Advanced Enzyme Tech Ltd.,CONSUMER GOODS,INE837H01020
AEGISCHEM,Aegis Logistics Ltd.,ENERGY,INE208C01025
AIAENG,AIA Engineering Ltd.,INDUSTRIAL MANUFACTURING,INE212H01026
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,PHARMA,INE031B01049
AKZOINDIA,Akzo Nobel India Ltd.,CONSUMER GOODS,INE133A01011
ALBK,Allahabad Bank,FINANCIAL SERVICES,INE428A01015
ALKEM,Alkem Laboratories Ltd.,PHARMA,INE540L01014
ALLCARGO,Allcargo Logistics Ltd.,SERVICES,INE418H01029
AMARAJABAT,Amara Raja Batteries Ltd.,AUTOMOBILE,INE885A01032
AMBUJACEM,Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,INE079A01024
ANDHRABANK,Andhra Bank,FINANCIAL SERVICES,INE434A01013
APLAPOLLO,APL Apollo Tubes Ltd.,METALS,INE702C01019
APLLTD,Alembic Pharmaceuticals Ltd.,PHARMA,INE901L01018
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES,INE437A01024
APOLLOTYRE,Apollo Tyres Ltd.,AUTOMOBILE,INE438A01022
ASAHIINDIA,Asahi India Glass Ltd.,AUTOMOBILE,INE439A01020
ASHOKA,Ashoka Buildcon Ltd.,CONSTRUCTION,INE442H01029
ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILE,INE208A01029
ASIANPAINT,Asian Paints Ltd.,CONSUMER GOODS,INE021A01026
ASTERDM,Aster DM Healthcare Ltd.,HEALTHCARE SERVICES,INE914M01019
ASTRAL,Astral Poly Technik Ltd.,INDUSTRIAL MANUFACTURING,INE006I01046
ATUL,Atul Ltd.,CHEMICALS,INE100A01010
AUBANK,AU Small Finance Bank Ltd.,FINANCIAL SERVICES,INE949L01017
AUROPHARMA,Aurobindo Pharma Ltd.,PHARMA,INE406A01037
AVANTIFEED,Avanti Feeds Ltd.,CONSUMER GOODS,INE871C01038
AXISBANK,Axis Bank Ltd.,FINANCIAL SERVICES,INE238A01034
BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILE,INE917I01010
BAJAJCORP,Bajaj Corp Ltd.,CONSUMER GOODS,INE933K01021
BAJAJELEC,Bajaj Electricals Ltd,CONSUMER GOODS,INE193E01025
BAJAJFINSV,Bajaj Finserv Ltd.,FINANCIAL SERVICES,INE918I01018
BAJAJHIND,Bajaj Hindusthan Sugar Ltd.,CONSUMER GOODS,INE306A01021
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES,INE118A01012
